ad_id,creative_id,ad_name,adgroup_name,adgroup_id,campaign_id,campaign_name,spend_90d,creator,tiktok_link,tiktok_item_id,refreshed_date
1871342888124722,,Best purchase we have ever made for our home ☁️ @Wayfair #cloudcouch #wayfair #couch #kidfriendly #petfriendly #momtok #furniture #cloudcouchdupe #wayfairfinds #momsoftiktok #relatablemomcontent #dreamcouch _search_latituderun_nyerere_couch_broad_FF,Spark_Couches_Broad_FF,1871339749665202,1871339683323985,Evergreen VSA Broad Web FF,960.93,libby.girl.mama,https://www.tiktok.com/@libby.girl.mama/video/7531778912880282893,7531778912880282893,2026-08-11
1867442578913425,,"Shopping Wayfair verified furniture 😊😊 I’ve been really intentional about choosing Wayfair Verified items lately because it takes the guesswork out of online shopping—quality, reviews, and real customer feedback you can actually trust. These barstools came together so beautifully and when you are shopping on Wayfair, definitely check out the Verified Items section—it makes a huge difference when curating your home.  #homedecor #wayfaircreator #wayfairelevate #wayfairverified #barstools @Wayfair _pcp_curat",Spark_Verified_Broad,1851727769933986,1845522176114754,Evergreen VSA Broad Web,960.76,,https://www.tiktok.com/video/7645133833532214541,7645133833532214541,2026-08-11
1871342531307858,,she’s perfect! 🔗 on my ShopMy! #housedecor #furnituredesign #wayfairfinds #wayfairfurniture _ce_millwoodpines_dorne_sideboard_broad_LF,Spark_Sideboard_Broad_LF,1871339943478289,1871338571302274,Evergreen VSA Broad Web LF,958.95,katelynshankle,https://www.tiktok.com/@katelynshankle/video/7608769143159966989,7608769143159966989,2026-08-11
1871342209038482,,linked in bio ☁️  my dream boucle bed from @Wayfair | #wayfairelevate #ad #wayfaircreator #wayfair #cozybedroom _wcp_elevate_latituderun_haden_boucle_bed_broad_LF,Spark_Bed_Broad_LF,1871338707353857,1871338571302274,Evergreen VSA Broad Web LF,953.85,storyofzena,https://www.tiktok.com/@storyofzena/video/7610519859587239181,7610519859587239181,2026-08-11
1871342926701730,,Love the design of this dresser — so minimal and sleek! 🤍 Comment if you want the link! @Wayfair #dresser #wayfairfind #bedroomdecor #moderndresser #affordabledresser #blackdresser #bedroominspo #modernhomedecor #furniture #interiordesign #minimaldecor #storage #organization #wayfairfurniture #apartmentseries _ebern_ambreal_dresser_broad_FF,Spark_Dresser_Broad_FF,1871339768085602,1871339683323985,Evergreen VSA Broad Web FF,951.99,jayvamyers,https://www.tiktok.com/@jayvamyers/video/7521920661187480862?q=wayfair%20dresser&t=1757535854868,7521920661187480862,2026-08-11
1864470319264977,,she’s perfect! 🔗 on my ShopMy! #housedecor #furnituredesign #wayfairfinds #wayfairfurniture,Spark_Sideboard_Broad,1845523675693186,1845522176114754,Evergreen VSA Broad Web,948.08,katelynshankle,https://www.tiktok.com/@katelynshankle/video/7608769143159966989,7608769143159966989,2026-08-11
1860747164085378,,Obsessed 😍 and it’s 55% off right now!! @Wayfair  It’s linked in my bio💝 #wayfairfinds #diningtable #diningchairs #homedecor,Spark_Chairs_Broad,1845522371045474,1845522176114754,Evergreen VSA Broad Web,947.02,steph_sandoval23,https://www.tiktok.com/@steph_sandoval23/video/7615435471874739486?lang=en,7615435471874739486,2026-08-11
1862478927815105,,#ad Finally upgraded my glam setup with this gorgeous makeup vanity✨ Shop my @Wayfair finds in my bio🫶🏻 #wayfair #wayfairelevate #wayfaircreator #makeupvanity,Spark_MakeupVanities_Broad,1851727743997041,1845522176114754,Evergreen VSA Broad Web,946.23,britianbennett,https://www.tiktok.com/@britainbennett/video/7613788731522157855?lang=en,7613788731522157855,2026-08-11
1871342822530082,,This modern accent chair from @Wayfair gave my living room the comfort + style it was missing Minimal and cozy. #wayfairfinds #wayfair #homedecor #livingroominspo #accentchair _ce_ivybronx_33wide_velvet_upholstered_chair_broad_FF,Spark_Chairs_Broad_FF,1871339735707778,1871339683323985,Evergreen VSA Broad Web FF,943.03,anamarie_xoxo,https://www.tiktok.com/@anamarie_xoxo/video/7577472540575075639?lang=en,7577472540575075639,2026-08-11
1871450127111201,,Still have shelves and pictures to hang to finalize everything but the boys are ecstatic about their “treehouse”😍 @Wayfair for the win! #momtok #momsover30 #roomrefresh #littleboys _search_mrsmeganbranch_beds_broad_FF,Spark_Bed_Broad_FF,1871339709357409,1871339683323985,Evergreen VSA Broad Web FF,936.73,mrsmeganbranch,https://www.tiktok.com/@mrsmeganbranch/video/7659444638444522765?lang=en,7659444638444522765,2026-08-11
