ad_id,ad_name,adgroup_name,adgroup_id,campaign_id,campaign_name,spend_90d
1851230994560354,Literally the prettiest couch I have even seen and it’s MINE!  Link to the exact couch is in my bio! @Wayfair #wayfaircreator #wayfair,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,53865.38
1864469606181922,Linked it right in my shop my !! Under “home” or “TikTok” #wayfairfinds #burlwoodsideboard #burlwood,Spark_Sideboard_Broad,1845523675693186,1845522176114754,Evergreen VSA Broad Web,53616.16
1849868959296674,I’ve been waiting for it to come back in stock to get y’all the link !Comment  for the link! 😍#wayfairpartner #wayfair #wayfairfinds #affordablehomefinds #wayfairelevate #wayfaircreator #Ad @Wayfair,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,52710.83
1851968262919378,the coziest couch☁️✨   🔗 in bio @Wayfair #wayfair #cloudcouch #modularsofa #wayfairfinds #cozyhome,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,52647.1
1856220663963746,Girly things 💕 #wayfair #wayfairfinds #wardrobe #girlythings #girly,Spark_BedroomFurniture_Broad,1845522581635297,1845522176114754,Evergreen VSA Broad Web,52210.67
1848440973943889,"This rug makes me so freaking happy! As a part time decorator, I recommended this rug to a friend and O.M.G I loved it so much I got it for my home.  It looks good with almost any color palette, it’s durable and stays in place!  Direct Link: https://creatoriq.cc/3VSJrbI  LTK: https://liketk.it/5uQ88 #ad @Wayfair #WayfairElevate #Wayfair #Wayfaircreator #homedecor",Spark_Rugs_Broad,1845523570298946,1845522176114754,Evergreen VSA Broad Web,48645.65
1854221496449058,Replying to @Laila.Elisex  here’s the sink test! 🤝  #fyp #couch #wayfaircreator #wayfair #momsoftiktok @Wayfair,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,46855.29
1847148177628178,my literal dream couch 🥰☁️✨  couch 🔗 is in my b i o !!! #wayfair #cloudcouch #sectional #momof3 #wayfaircreator  @Wayfair,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,45616.06
1857666541272081,I’m in loveee 🤍😌✨ @Wayfair #wayfairfinds #accentchair #cozyhome #livingroomdecor #fyp,Spark_Chairs_Broad,1845522371045474,1845522176114754,Evergreen VSA Broad Web,42870.05
1859393686525970,The Scarlet dresser from @Wayfair is one of my favorite neutral furniture pieces 🤎 The warm wood tone and classic design make it so easy to style… and right now it’s on sale! 🔗 in my Linktree. #w#wayfairw#wayfairfindsn#neutralhomeh#homeinspodresser,Spark_Dresser_Broad,1845523018575154,1845522176114754,Evergreen VSA Broad Web,42508.79
1856121606084625,Yup I’m obsessed with my new couch lol #wayfair #wayfairfinds,Spark_Couches_Broad_2,1848415167854594,1845522176114754,Evergreen VSA Broad Web,41395.25
1856775853836321,"The swivel, easy to clean, comfy stools we were dreaming of! @Wayfair #wayfair #WayfairElevate #WayfairCreator #ad",Spark_Stools_Broad,1845523751867410,1845522176114754,Evergreen VSA Broad Web,40188.55
1860555394543777,Girl to girl… GET THE COUCH. #wayfair #wayfaircouch #cloudcouch #girl #homedecor @Wayfair,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,38666.56
1863102859544609,This upgrade was LONG overdue 🫣 Now someone tell me how to make sure my kids’ shoes actually ended up back in here everytime 😅🙏🏼 @Wayfair  Shop on my LTK Rebecca_Shugart #wayfairfinds #wayfairhome #wayfairfurniture #mudroom #mudroominspo,Spark_ShoeStorage_Broad,1845523647532082,1845522176114754,Evergreen VSA Broad Web,35331.61
1856774663929026,Replying to @nakia Rickye Oak Trestle Table from @Wayfair  #blackmenoftiktok #housetohome #interiordesign #wayfairfinds,Spark_Tables_Broad,1845523804088658,1845522176114754,Evergreen VSA Broad Web,34680.05
1850051728734289,The Perfect Arch Mirror 🤍✨ It looks amazing in my apartment! #archmirror #wayfair #floormirror #archedmirror #mirror #homefinds #homedecor #livingroomdecor #homedecorideas #livingroominspo #mirrorchallenge #moderndecor #neutraldecor #chicdecor #jossandmain #mirrormirror #wayfairfinds,Spark_Mirrors_Broad,1845523389219042,1845522176114754,Evergreen VSA Broad Web,31939.9
1853236864556129,✨What I bought vs how I styled it ✨ @Wayfair edition. These bar stools were the perfect crossover for both aesthetic and functionality!  #wayfair #barstool #kitchen #homedecor #interiordesign,Spark_Stools_Broad,1845523751867410,1845522176114754,Evergreen VSA Broad Web,31464.31
1866465439035633,The most comfortable couch☁️ So easy to put together & the cushion covers are washable! @Wayfair #couchtok #cloudcouch #furniture #homeinspo #apartmentdecor,Spark_Couches_Broad,1845521829995602,1845522176114754,Evergreen VSA Broad Web,28589.1
