ad_id,tiktok_item_id,identity_id,operation_status,ad_name,adgroup_name,adgroup_id,campaign_id,campaign_name,spend_90d
1863098634493042,7628292316012334366,2174481,ENABLE,I’m in loveeee @Wayfair ✨ this space was needing a larger rug and I finally decided on one 🫶🏽 #home #rug #wayfair #wayfairfinds #livingroom,Spark_Rugs_Broad,1845523570298946,1845522176114754,Evergreen VSA Broad Web,2976.01
1846343657774097,7543075255041182990,6701827993105744898,ENABLE,Moved in 6months ago and already feels so cozy! #nyc #nycapartment #nycapartmenttour #brooklynapartment,Spark_Bookshelves_Broad,1845522455733249,1845522176114754,Evergreen VSA Broad Web,2959.53
1871450429256961,7654942233375935774,6778151391128732677,ENABLE,"Coffee table reset routine ✨ Always get so many questions on this coffee table, it’s @Wayfair !! #apartmentinspo #resetroutine #coffeetable #coffeetablestyling #apartmentdecor _search_ellemenzel_tables_broad_LF",Spark_Tables_Broad_LF,1871339966771506,1871338571302274,Evergreen VSA Broad Web LF,2945.04
1851143842988209,7529241133092736286,7226961481275016235,ENABLE,WAYFAIR NIGHTSTANDS what I ordered v what I got #homeowner #wayfairfinds,Spark_BedroomFurniture_Broad,1845522581635297,1845522176114754,Evergreen VSA Broad Web,2927.91
1871340194464850,7592774417864854815,7585385674900521997,ENABLE,"The perfect shoe storage cabinet, fits up to 24 pairs of shoes (including your boyfriend’s sneakers) 👟  @Wayfair 🤎 Find this on my LTK, link in bio ✨ #shoestorage #entryway #apartmenttour #interiordesign #fyp _search_loonpeak_24pair_walnut_shoestorage_broad_LF",Spark_ShoeStorage_Broad_LF,1871339936551121,1871338571302274,Evergreen VSA Broad Web LF,2908.47
1866457281616082,7621954621866609934,6761979713902576646,ENABLE,Upholstered Slipcovered Barrel Armchair Set from @Wayfair for a Cottage Style feel in my office  #cottagecore #armchair #loungechair #homedecor #wayfairfinds,Spark_Chairs_Broad,1845522371045474,1845522176114754,Evergreen VSA Broad Web,2870.79
1871341690000626,7550682058146860318,6920966106015187974,ENABLE,So thankful I was able to grab these before they sold out. This is a small home upgrade that made such a difference. These barstools from @Wayfair added just what I needed to my space. 🔗 in bio #wayfair #homedecor #momlife #kitchenupgrade #kitchenfurniture  _ce_corriganstudio_vannie_upholstered_stool_broad_LF,Spark_Stools_Broad_LF,1871339950442689,1871338571302274,Evergreen VSA Broad Web LF,2849.24
1866459311335649,7634612111754153246,6717410311421838341,ENABLE,The most perfect nightstand 🤍 and less than $200 @Wayfair #renterfriendly #apartmentdecor #homeupgrades #interiorstyling #marblesidetable,Spark_Tables_Broad,1845523804088658,1845522176114754,Evergreen VSA Broad Web,2841.0
1863751070990450,7626211653440277774,6727445772319474693,ENABLE,maturing is getting rid of the white shelves #shelfdecor #roomdecor #handbags #wayfair #officedecor,Spark_Bookshelves_Broad,1845522455733249,1845522176114754,Evergreen VSA Broad Web,2840.15
1856768175747266,7604618574229015838,7603393907334710286,ENABLE,Nothing says cozy like a chair that fits your entire family 🤪 @Wayfair,Spark_Chairs_Broad,1845522371045474,1845522176114754,Evergreen VSA Broad Web,2835.18
1871450410864738,7618407656562101518,7005642911015158789,ENABLE,This entryway sets the vibe every time. #entrywaydecor #modernorganic #blackmenoftiktok #wayfairfinds #housetohome @Wayfair _search_smoothepiphany_sideboard_broad_LF,Spark_Sideboard_Broad_LF,1871339943478289,1871338571302274,Evergreen VSA Broad Web LF,2830.69
1871341463039025,7592005832653557006,6733630971965162501,ENABLE,We’re no longer tripping over shoes in 2026. Check out my Wayfair Storefront for direct link to these finds. Link in bio  @Wayfair #wayfaircreator _search_bayisle_clie_shoestorage_broad_FF,Spark_ShoeStorage_Broad_FF,1871339784944641,1871339683323985,Evergreen VSA Broad Web FF,2818.1
1868272282307714,7652368463305936142,6802667863297704965,ENABLE,"When you need extra storage space in your bedroom, this Wayfair bed frame makes it work ✨ Clean design, minimal look, and smart use of under-bed space for everyday essentials. A simple upgrade that keeps the room feeling open and organized. Comment “bed” and I’ll send you the link.  #WayfairElevate #WayfairCreator #ad @Wayfair _wcp_itsjoycecreates_loftbed_broad",Spark_Bed_Broad,1845522569316737,1845522176114754,Evergreen VSA Broad Web,2800.64
1871342797287666,7575976693735640375,7217677586985141291,ENABLE,Girly things 💕 #wayfair #wayfairfinds #wardrobe #girlythings #girly_ce_larkmanor_baroncourt_armoire_broad_FF,Spark_BedroomFurniture_Broad_FF,1871339728423089,1871339683323985,Evergreen VSA Broad Web FF,2798.38
1864476092875810,7603058652584398111,7602292045768213559,ENABLE,New bed alert 🚨 #dogbed #largedogbreed #wayfair @Wayfair,Spark_Pet_Broad,1845523499811138,1845522176114754,Evergreen VSA Broad Web,2759.68
1871342893327490,7632389131947003150,6793032138139026437,ENABLE,8 months later and we STILL love this couch!! 🤩☁️ 🔗 for this couch is in my b i o  #wayfair #wayfaircreator #sectional #wayfairfinds @Wayfair _search_latituderun_u_shape_cloudcouch_broad_FF,Spark_Couches_Broad_FF,1871339749665202,1871339683323985,Evergreen VSA Broad Web FF,2757.51
1871341365154065,7500684071270665518,6975526164401505285,ENABLE,"Simple. Soft. Perfect 🔥😍 @Wayfair ,Your dream girl bed! 🎀. Click the 🔗 in my bio to purchase! 🤭  #fireplacebed #bedroomideas #bedroomdecor #decor #blackgirlluxury #headboard #bedroomfurniture #homefurniture #homedecor #luxuryhome #luxuryliving #asthetic #wayfair #wayfaircreator #bedroominspo _search_brayden_ashray_bed_broad_FF",Spark_Bed_Broad_FF,1871339709357409,1871339683323985,Evergreen VSA Broad Web FF,2740.16
1854234974402658,7592271711664475447,6532027817356460034,ENABLE,Coffee bar of my dreams ✨🤌🏼  🔗Linked everything in my ltk  Sideboard: @Wayfair  #wayfair #wayfairfinds #wayfaircreator #wayfairfurniture,Spark_Sideboard_Broad,1845523675693186,1845522176114754,Evergreen VSA Broad Web,2738.94
1863814431042594,7599719096632069406,6911004565043676166,ENABLE,Gorgeous 20.9” Tufted Square Footstool Ottoman’s 🤎🤎 Link in Bio  From @Wayfair  #fyp #wayfair #ottoman #homedecor #decor,Spark_BedroomFurniture_Broad_2,1851727743997009,1845522176114754,Evergreen VSA Broad Web,2715.27
1862735625326194,7628775568619654430,6993021683327271942,ENABLE,this cutie mirror was exactly what this bare space needed!!✨ it’s in my @Wayfair storefront!! #WayfairCreator #Wayfair #homedecor #decoratewithme #apartmentdecor,Spark_Mirrors_Broad_2,1851727743997025,1845522176114754,Evergreen VSA Broad Web,2704.25
1862478927098209,7599159891395087638,6808959771469087749,ENABLE,I’m obsessed 😭 I’ve always wanted a proper vanity to sit and do my makeup everyday & he did so good #vanity #setupmyvanity #makeupvanity,Spark_MakeupVanities_Broad,1851727743997041,1845522176114754,Evergreen VSA Broad Web,2700.68
1871342366862385,7565794306615676191,6711861980427650053,ENABLE,Yes.  You need this couch before the holidays.  #wayfairfinds #ad #wayfaircreator #wayfairelevate #wayfair @Wayfair _search_wadelogan_arfsten_sectional_broad_LF,Spark_Couches_Broad_LF,1871339896643714,1871338571302274,Evergreen VSA Broad Web LF,2700.4
1871342483974210,7559028784133836062,6954952028167259141,ENABLE,this was on back order and was a pleasant surprise when it showed up at my door months after ordering it😍🤎 #wayfair #wayfairfinds #rugs #bathroomrug #runnerrug @Wayfair @Loloi Rugs _clj_loloi_scottie_mocha_rug_broad_LF,Spark_Rugs_Broad_LF,1871339925834801,1871338571302274,Evergreen VSA Broad Web LF,2657.58
1871450386965554,7659797686853307678,7608025286098469901,ENABLE,On wayfair 😊 #homedecor#homefinds#rug#dopaminedecor#colorfulhomedecor _search_houseofgracie_rugs_broad_FF,Spark_Rugs_Broad_FF,1871339772533905,1871339683323985,Evergreen VSA Broad Web FF,2654.35
